station_name,latitude,longitude
ANAND JUNCTION,22.5645175,72.928871
ANAND NAGAR RAILWAY STN,27.1022603,83.2759219
ANANDAPURAM RAILWAY STN,14.0749301,75.2327628
ARASALU RAILWAY STN,14.0749301,75.2327628
BHADBHUNJA RAILWAY STN,22.2182181,71.1656462
ANANDPUR SAHIB RAILWAY STN,31.2355318,76.5012734
ANANGUR RAILWAY STN,11.3892423,77.8288267
ANANTAPUR RAILWAY STN,14.6818877,77.6005911
CHIMIDIPALLI RAILWAY STN,18.2368639,83.0080184
ALLURU ROAD RAILWAY STN,16.2331473,80.7713605
ANANTNAG RAILWAY STN,33.7311255,75.1487007
SADURA RAILWAY STN,33.7311,75.1487
ANARA RAILWAY STN,23.4882015,86.5608924
ANANDTANDAVPUR RAILWAY STN,11.1383677,79.6586309
ANCHELI RAILWAY STN,20.8447344,72.9453184
SAMSI RAILWAY STN,25.2720001,88.0179639
ANDUL RAILWAY STN,22.5943202,88.2437502
ANEKAL ROAD RAILWAY STN,12.7090575,77.6992265
ANGADI RAILWAY STN,22.6708317,71.5723953
ANGADIPPURAM RAILWAY STN,10.977336,76.2013931
ANGAI RAILWAY STN,26.6034526,77.4716313
ANGALAKUDURU RAILWAY STN,16.2393275,80.6118768
NUJELLA RAILWAY STN,16.38307,81.0354406
KARUKKUTTY RAILWAY STN,10.1926394,76.3869289
ANGAMALI RAILWAY STN,10.1926394,76.3869289
ANGAR GHAT RAILWAY STN,25.7976267,85.9023396
ANGAR RAILWAY STN,17.898833,75.5771573
PUNDIBARI RAILWAY STN,26.4019064,89.3997121
ANGUL RAILWAY STN,20.8444033,85.1510818
ANIPUR RAILWAY STN,24.5493948,92.4282796
ANJANGAON RAILWAY STN,21.1670988,77.3152116
ANJAR RAILWAY STN,23.1166716,70.0281023
ANKAI RAILWAY STN,20.1844982,74.4547609
ANKLAV RAILWAY STN,22.377476,72.9992013
ANKLESHWAR JUNCTION,21.6264236,73.0151984
ANKOLA RAILWAY STN,14.6653087,74.3000878
KAIPADA ROAD RAILWAY STN,22.327887,86.1878899
ANNAVARAM RAILWAY STN,17.2788719,82.4012873
SRIRAMPURAM RAILWAY STN,17.1242469,79.2106725
ANNIGERI RAILWAY STN,15.4272524,75.4315594
ANPARA RAILWAY STN,24.2048772,82.7832489
ANTAH RAILWAY STN,25.1545849,76.2929779
KAILARAS RAILWAY STN,23.2226203,81.3468167
BISHNATHGANJ RAILWAY STN,28.3485883,79.2422956
ANTU RAILWAY STN,26.0564687,81.9043672
ANUPGARH RAILWAY STN,29.1937,73.2046273
ANUPPUR JUNCTION,23.1148065,81.6987997
CHHULHA RAILWAY STN,23.1148065,81.6987997
ANUPSHAHR RAILWAY STN,28.9554269,75.2098956
AONLA RAILWAY STN,28.2699017,79.1604971
APPIKATLA RAILWAY STN,15.9729456,80.5091133
APTA RAILWAY STN,19.7514798,75.7138884
ARAG RAILWAY STN,16.7858126,74.8009955
SAGARPALI RAILWAY STN,25.7571402,84.0966657
ARAKKONAM JUNCTION,13.0840593,79.6704128
ARAKKU RAILWAY STN,18.3222221,82.8801765
BORRAGUHALLU RAILWAY STN,18.3222221,82.8801765
SHIMILIAGUDA RAILWAY STN,18.3222221,82.8801765
KARDI RAILWAY STN,13.2516041,76.6145548
ARALAGUPPE RAILWAY STN,13.2516041,76.6145548
TOVALAI RAILWAY STN,8.2509379,77.5227158
ARAND RAILWAY STN,20.996195,81.9712584
ARANG MAHANADI RAILWAY STN,21.1956152,81.962186
ARANTANGI RAILWAY STN,10.1730375,78.9979149
ARARIYA RAILWAY STN,26.1354216,87.6099982
ARARIYA COURT RAILWAY STN,26.1354216,87.6099982
HARNAUT RAILWAY STN,25.3404676,85.525174
ARAVANKADU RAILWAY STN,11.3683265,76.7711626
KARNA SUBARNA RAILWAY STN,24.0290153,88.1706047
MAHALAM RAILWAY STN,31.1471305,75.3412179
TALLI SAIDASAHU RAILWAY STN,31.1471305,75.3412179
ARIYALUR RAILWAY STN,11.1403677,79.07445
AYYALUR RAILWAY STN,11.1403677,79.07445
VIRAPANDY ROAD RAILWAY STN,11.2029609,77.0839536
BHATASA RAILWAY STN,27.5130652,79.3817523
ARJANSAR RAILWAY STN,28.9330858,73.8673254
NIVARI RAILWAY STN,25.3174341,78.8410956
ARJUNI RAILWAY STN,20.8179226,80.0395205
ARNEJ RAILWAY STN,22.5825335,72.266727
ARNETHA RAILWAY STN,25.3834921,75.9985693
ARNIA RAILWAY STN,24.4166201,76.4858173
ARA RAILWAY STN,25.5541358,84.6664797
ARSIKERE JUNCTION,13.3133834,76.2565857
NAYABAGIRTHIPUR RAILWAY STN,20.768463,85.3949864
RUNKUTA RAILWAY STN,27.4236292,77.856738
ARUMUGANERI RAILWAY STN,8.5681265,78.0937171
ARUPPUKKOTTAI RAILWAY STN,9.5139114,78.100168
ARYANKAVU RAILWAY STN,8.9750633,77.1494408
ASAFPUR RAILWAY STN,27.8986201,79.4211567
BALIMARA RAILWAY STN,27.2452381,95.3442408
ASAN RAILWAY STN,29.3953279,76.8663307
ASANSOL JUNCTION,23.6888636,86.9660638
BARACHAK RAILWAY STN,23.6888636,86.9660638
BANPUR RAILWAY STN,23.6888636,86.9660638
MATHUR RAILWAY STN,11.3211517,79.2109244
RHRA GHALUGHRA RAILWAY STN,31.1471305,75.3412179
RANYAL JASMIYA RAILWAY STN,23.1779247,76.0827008
TODARPUR RAILWAY STN,27.4683656,79.4802317
SHARMA RAILWAY STN,27.4683656,79.4802317
ASHOK NAGAR RAILWAY STN,24.5775148,77.7318495
ASHOKAPURAM RAILWAY STN,12.2863588,76.6398272
S BAKHTIYARPUR RAILWAY STN,25.7422684,86.5936898
ASHTI RAILWAY STN,18.8043913,75.1680394
BAHANAGA BAZAR RAILWAY STN,21.3286031,86.7547236
ASLANA RAILWAY STN,23.9350411,79.314163
ASLAODA RAILWAY STN,22.9734229,78.6568942
ASLU RAILWAY STN,28.3590003,75.0757157
ASAOTI RAILWAY STN,28.2496455,77.3195148
PILOL RAILWAY STN,22.4220507,73.1998604
ASOKHAR RAILWAY STN,26.552271,78.59731
ASWAPURAM RAILWAY STN,17.8375659,80.8303891
ATARIA RAILWAY STN,27.1664842,80.8682203
ATARRA RAILWAY STN,25.2867411,80.5743969
ATELI RAILWAY STN,28.1056349,76.2800859
BEHULA RAILWAY STN,22.7969417,88.7758503
SILLAKKUDI RAILWAY STN,12.7343528,79.9472502
ATRAMPUR RAILWAY STN,25.5578741,81.7335741
GANGAULI RAILWAY STN,25.603084,82.0720369
ATRAURA RAILWAY STN,25.603084,82.0720369
ASRANADA RAILWAY STN,24.8811263,76.6681412
ATRU RAILWAY STN,24.8811263,76.6681412
PIPALDA ROAD RAILWAY STN,24.8811263,76.6681412
ATTABIRA RAILWAY STN,21.3690304,83.775678
ATTAR RAILWAY STN,22.0088065,76.2059037
ATARI RAILWAY STN,31.5978111,74.6019776
ATTILI RAILWAY STN,16.6870295,81.6078635
ATTUR RAILWAY STN,11.5983184,78.5974352
ATUL RAILWAY STN,20.5370052,72.9413502
AUJARI RAILWAY STN,26.2316372,92.2815069
AULENDA RAILWAY STN,27.0307404,77.6178125
AUNG RAILWAY STN,27.1720685,79.1943534
AURANGABAD RAILWAY STN,19.8761653,75.3433139
MUKUNDAWADI HA RAILWAY STN,19.8761653,75.3433139
AUNRIHAR JUNCTION,25.5476887,83.1930331
KECKHI RAILWAY STN,23.9341513,84.1355982
AUWA RAILWAY STN,25.6281682,73.6350963
AVADI RAILWAY STN,13.1067448,80.0969511
AVATIHALLI RAILWAY STN,13.3405572,75.6371419
GUDUPULLI RAILWAY STN,12.8204292,78.2675478
BISANATTAM RAILWAY STN,15.3172775,75.7138884
VASIND RAILWAY STN,19.4316416,73.0913963
AWANTIPURA RAILWAY STN,33.9217934,75.0138974
AYODHYA CANTT. RAILWAY STN,26.7921605,82.1997954
AYODHYA RAILWAY STN,26.7921605,82.1997954
AYYAMPET RAILWAY STN,10.89629,79.1943534
PASUPATIKOVIL RAILWAY STN,10.89629,79.1943534
AZAMGARH RAILWAY STN,26.0739138,83.1859495
PHARIHA RAILWAY STN,26.0739138,83.1859495
KUSIARGAON RAILWAY STN,25.5490479,87.8230436
SAMDHARI JUNCTION,25.7758774,72.5382293
BAMSIN RAILWAY STN,25.7758774,72.5382293
BABA BAKALARAYA RAILWAY STN,31.5600889,75.2624898
SALICHAUKA ROAD RAILWAY STN,22.8309368,78.6767477
BABARPUR RAILWAY STN,29.4633439,76.9558564
KOHAND RAILWAY STN,29.4633439,76.9558564
BABATPUR RAILWAY STN,25.4506565,82.8559854
BABINA RAILWAY STN,25.249456,78.4623211
GALSI RAILWAY STN,23.3504451,87.6852323
BABRALA RAILWAY STN,28.2636806,78.4037329
BABUGARH RAILWAY STN,28.7238037,77.8495921
KARAMTOLA RAILWAY STN,25.3047347,87.5346402
BACHAR RAILWAY STN,21.9581389,73.1688878
BACHELI RAILWAY STN,18.7013814,81.2512092
BACHHRAWAN RAILWAY STN,26.471033,81.112712
BACHWARA JUNCTION,25.5787061,85.8932573
BAD RAILWAY STN,27.4158168,77.6707924
BARA GUDAH RAILWAY STN,29.6641881,75.0319086
BADABANDHA RAILWAY STN,20.6492663,84.4251445
BADAMI RAILWAY STN,15.918622,75.676082
YERAGOPPA RAILWAY STN,15.918622,75.676082
BADAMPUDI RAILWAY STN,16.8258785,81.4740465
BADARPUR JUNCTION,24.864512,92.5643773
BADARWAS RAILWAY STN,24.976005,77.5661298
BRAYLA CHAURASI RAILWAY STN,22.4621116,78.9910352
BADDOWAL RAILWAY STN,30.860768,75.7447476
TOPOKAL RAILWAY STN,19.0103775,81.8807615
BADE ARAPUR RAILWAY STN,19.0103775,81.8807615
RADHA BALAMPUR RAILWAY STN,26.0797419,81.1292603
BADHADA RAILWAY STN,21.2681852,71.3364168
BADHAL RAILWAY STN,27.2562041,75.4401832
PEOKOL RAILWAY STN,26.3361834,83.9148693
BADHARI KALAN RAILWAY STN,27.7927046,78.7277814
NIGATPUR RAILWAY STN,26.3529831,83.758423
CHEGUNTA RAILWAY STN,16.490507,77.2692503
MADAVNAGAR ROAD RAILWAY STN,24.5253029,80.8779038
BADKULLA RAILWAY STN,23.3018341,88.5303451
BADLAPUR RAILWAY STN,19.1667854,73.2367896
BADMAL RAILWAY STN,20.3747293,83.2880591
BADNAPUR RAILWAY STN,19.8682398,75.7256331
BADNERA JUNCTION,20.8636322,77.7350824
TIMTALA RAILWAY STN,20.8636322,77.7350824
BADODAR RAILWAY STN,21.3455341,70.2820421
BADAUSA RAILWAY STN,25.2447325,80.6521139
BADSHAHNAGAR RAILWAY STN,26.8599756,81.6665149
BADSHAHPUR RAILWAY STN,25.6579775,82.1903963
BADULIPAR RAILWAY STN,26.6424073,93.8795305
LAOPANI RAILWAY STN,26.2086314,92.5953637
KUSHTAUR RAILWAY STN,23.4421304,86.5274419
BAGALIA RAILWAY STN,23.4421304,86.5274419
BAGALKOT RAILWAY STN,16.1691096,75.6615029
BAGBAHRA RAILWAY STN,21.0447495,82.3869134
BAGHDOGRA RAILWAY STN,27.0410218,88.2662745
BAGESHAPURA RAILWAY STN,13.1505651,76.2298066
RATAN SHAHR RAILWAY STN,28.1859698,75.4988961
BAGHAULI RAILWAY STN,27.2211262,80.2962385
RAMNA RAILWAY STN,23.6913486,85.2722472
AZAMNAGAR ROAD RAILWAY STN,25.5688765,87.8635686
BAGHI BARDIHA RAILWAY STN,24.9267514,85.6409178
GHOGRAPUR RAILWAY STN,26.6371023,91.1917104
MANIHARI RAILWAY STN,25.3564076,87.6161696
KHANUDIH RAILWAY STN,23.7938502,86.2026488
BAGHORA RAILWAY STN,24.1271259,78.2789365
BAGNAN RAILWAY STN,22.4683006,87.9707475
BAGWALI RAILWAY STN,30.9561475,76.5863882
BAHADURGARH RAILWAY STN,28.6913756,76.9314064
ATHMAL GOLA RAILWAY STN,26.1098719,85.9070855
DHODA KHEDI RAILWAY STN,28.3339117,77.4278838
BAHADURPUR RAILWAY STN,23.6924569,87.1447831
BAHARU RAILWAY STN,22.2040319,88.428272
MALUPOTA RAILWAY STN,30.9048569,73.9161418
ROSHANPUR RAILWAY STN,28.7780401,79.4956974
MAKRONIA RAILWAY STN,23.875027,78.8241068
BALLENAHALLI RAILWAY STN,15.3172775,75.7138884
BAHIR KHANDA RAILWAY STN,22.8615067,88.0729754
GAUTAMPURA ROAD RAILWAY STN,23.0284968,75.5305814
PIRJHALAR RAILWAY STN,23.0284968,75.5305814
MAHANANDA BGE RAILWAY STN,23.2782141,88.6361959
BAHILPURWA RAILWAY STN,28.3868609,78.6171753
BAHJOI RAILWAY STN,28.3868609,78.6171753
BAHORA CHANDIL RAILWAY STN,25.3665908,83.489691
PINGORA RAILWAY STN,27.079347,77.3697672
BAHRAICH RAILWAY STN,27.5705152,81.5976672
BAHERI RAILWAY STN,27.5705152,81.5976672
NARAYANGARH RAILWAY STN,22.1756581,87.3761105
MARIPAT RAILWAY STN,26.8667603,78.9867948
SEORAPHULI RAILWAY STN,22.7919231,88.3309595
BAIDYABATI RAILWAY STN,22.7919231,88.3309595
SARAI CHANDI RAILWAY STN,26.4490478,82.4603823
ARAON RAILWAY STN,27.1218933,78.7079381
BAINCHI RAILWAY STN,23.1211739,88.1925508
SARAGCHNI RAILWAY STN,24.8745553,87.9983878
NEW BALARAMPUR RAILWAY STN,24.8745553,87.9983878
MURAHARA RAILWAY STN,25.9230184,87.5371129
BAITALPUR RAILWAY STN,26.554783,83.7371794
SARAGIPALI RAILWAY STN,20.977142,84.4618943
BAMUR RAILWAY STN,20.977142,84.4618943
MAJADA HALT RAILWAY STN,28.448513,78.6994326
BAJRANGARH RAILWAY STN,24.568181,77.2692503
MAHUGARHA RAILWAY STN,24.568181,77.2692503
BAJUD RAILWAY STN,21.7503826,71.8366803
BAKAL RAILWAY STN,21.2786567,81.8661442
BAKHTIYARPUR JUNCTION,25.4547359,85.539154
BAKHLETA RAILWAY STN,23.8667351,80.0674619
BAKHSHA RAILWAY STN,25.7852297,82.5713286
DHAMDHAMIA RAILWAY STN,23.1583804,85.3743339
BAKUDI RAILWAY STN,23.1583804,85.3743339
BALABHADRAPURAM RAILWAY STN,16.959199,82.0052883
BALAGARH RAILWAY STN,23.118857,88.4646107
BALAGHAT JUNCTION,21.812876,80.1838293
BADHWA BARA RAILWAY STN,21.812876,80.1838293
BALAMU JUNCTION,27.1385986,80.2878694
ATWA KURSATH RAILWAY STN,27.1385986,80.2878694
GHAUSGANJ RAILWAY STN,27.1385986,80.2878694
BALANAGAR RAILWAY STN,17.4813993,78.4489935
BALANGIR RAILWAY STN,20.7011108,83.4846069
TAPANG RAILWAY STN,20.7011108,83.4846069
BARANG RAILWAY STN,20.7011108,83.4846069
TALODHI ROAD RAILWAY STN,20.4545395,79.7708275
VIRARAKKIYAM RAILWAY STN,8.4320632,77.0502803
KAMARKUNDU RAILWAY STN,22.8177805,88.2187293
BALARAMBATI RAILWAY STN,22.8177805,88.2187293
NEMEM RAILWAY STN,8.4320632,77.0502803
BALARAMAPURAM RAILWAY STN,8.4320632,77.0502803
BIJAULI RAILWAY STN,25.3813921,78.5348507
BALAWALI RAILWAY STN,29.6270537,78.110115
KISHENGARH BLWS RAILWAY STN,28.2678614,76.5724262
BALASORE RAILWAY STN,21.4933578,86.9134794
BALGANUR RAILWAY STN,15.956087,76.7531301
GAURIGANJ RAILWAY STN,26.1892738,81.6870496
SHYAM CHAK RAILWAY STN,22.3601451,87.5568898
BALICHAK RAILWAY STN,22.3601451,87.5568898
BALIPARA RAILWAY STN,26.8256582,92.775492
BALIAKHERI RAILWAY STN,29.9296189,77.6450215
BALLABGARH RAILWAY STN,28.338774,77.3205629
BELERHAT RAILWAY STN,23.7672169,87.7098723
BADHAI BALAMGRH RAILWAY STN,30.4713332,74.5022052
BALHARSHAH RAILWAY STN,19.8515663,79.3498917
BALLIA RAILWAY STN,28.2006882,79.3651914
BALLY RAILWAY STN,22.6496657,88.3386447
BALLY GHAT RAILWAY STN,22.6496657,88.3386447
BELUR RAILWAY STN,22.6496657,88.3386447
LILUAH RAILWAY STN,22.6496657,88.3386447
BALOD RAILWAY STN,20.7268981,81.2049301
BALOTRA JUNCTION,25.8302463,72.2455699
